date,eur,usd,gbp,aud,nzd,cad,chf,jpy
2019_03_13,435,-4358,2678,134,-17,540,404,184
2019_03_14,-224,2690,-940,-292,-322,-357,-3,-552
2019_03_15,218,-1559,569,211,240,-53,166,208
2019_03_18,191,-133,-396,216,97,-60,101,-16
2019_03_19,165,-456,109,-121,20,94,185,4
2019_03_20,596,-1955,-697,304,280,160,641,671
2019_03_21,-383,1987,-853,-41,-76,-588,61,-107
2019_03_22,-732,-45,1004,-313,14,-616,-190,878
2019_03_25,164,-1043,-147,338,369,232,131,-44
2019_03_26,-445,859,54,226,7,187,-217,-671
2019_03_27,-209,2214,-111,-497,-1102,-305,-105,115
2019_03_28,-209,2548,-1464,-87,-174,-326,-95,-193
2019_03_29,-26,-941,-104,218,278,893,-95,-223
2019_04_01,-181,58,657,-36,-159,384,-385,-338
2019_04_02,-81,706,419,-375,-371,-298,-31,31
